| epoch   1 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.33 | loss  6.08 | ppl   435.37
| epoch   1 |   400/ 9234 batches | lr 0.0010 | ms/batch 16.90 | loss  5.48 | ppl   239.81
| epoch   1 |   600/ 9234 batches | lr 0.0010 | ms/batch 16.95 | loss  5.34 | ppl   208.77
| epoch   1 |   800/ 9234 batches | lr 0.0010 | ms/batch 16.43 | loss  5.10 | ppl   164.30
| epoch   1 |  1000/ 9234 batches | lr 0.0010 | ms/batch 16.75 | loss  4.96 | ppl   142.54
| epoch   1 |  1200/ 9234 batches | lr 0.0010 | ms/batch 16.55 | loss  4.87 | ppl   130.46
| epoch   1 |  1400/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  4.81 | ppl   123.26
| epoch   1 |  1600/ 9234 batches | lr 0.0010 | ms/batch 16.28 | loss  4.74 | ppl   114.08
| epoch   1 |  1800/ 9234 batches | lr 0.0010 | ms/batch 16.45 | loss  4.72 | ppl   112.18
| epoch   1 |  2000/ 9234 batches | lr 0.0010 | ms/batch 17.47 | loss  4.69 | ppl   109.20
| epoch   1 |  2200/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.63 | ppl   102.70
| epoch   1 |  2400/ 9234 batches | lr 0.0010 | ms/batch 16.75 | loss  4.58 | ppl    97.37
| epoch   1 |  2600/ 9234 batches | lr 0.0010 | ms/batch 17.16 | loss  4.57 | ppl    96.97
| epoch   1 |  2800/ 9234 batches | lr 0.0010 | ms/batch 16.98 | loss  4.56 | ppl    95.72
| epoch   1 |  3000/ 9234 batches | lr 0.0010 | ms/batch 16.86 | loss  4.52 | ppl    92.07
| epoch   1 |  3200/ 9234 batches | lr 0.0010 | ms/batch 16.97 | loss  4.50 | ppl    90.38
| epoch   1 |  3400/ 9234 batches | lr 0.0010 | ms/batch 16.79 | loss  4.49 | ppl    89.03
| epoch   1 |  3600/ 9234 batches | lr 0.0010 | ms/batch 17.26 | loss  4.47 | ppl    86.94
| epoch   1 |  3800/ 9234 batches | lr 0.0010 | ms/batch 17.34 | loss  4.48 | ppl    87.90
| epoch   1 |  4000/ 9234 batches | lr 0.0010 | ms/batch 17.01 | loss  4.46 | ppl    86.25
| epoch   1 |  4200/ 9234 batches | lr 0.0010 | ms/batch 17.16 | loss  4.43 | ppl    84.09
| epoch   1 |  4400/ 9234 batches | lr 0.0010 | ms/batch 17.17 | loss  4.44 | ppl    84.52
| epoch   1 |  4600/ 9234 batches | lr 0.0010 | ms/batch 17.21 | loss  4.41 | ppl    82.38
| epoch   1 |  4800/ 9234 batches | lr 0.0010 | ms/batch 17.52 | loss  4.41 | ppl    82.13
| epoch   1 |  5000/ 9234 batches | lr 0.0010 | ms/batch 17.36 | loss  4.39 | ppl    80.93
| epoch   1 |  5200/ 9234 batches | lr 0.0010 | ms/batch 17.51 | loss  4.38 | ppl    79.86
| epoch   1 |  5400/ 9234 batches | lr 0.0010 | ms/batch 17.14 | loss  4.35 | ppl    77.21
| epoch   1 |  5600/ 9234 batches | lr 0.0010 | ms/batch 16.50 | loss  4.33 | ppl    76.28
| epoch   1 |  5800/ 9234 batches | lr 0.0010 | ms/batch 16.96 | loss  4.34 | ppl    76.78
| epoch   1 |  6000/ 9234 batches | lr 0.0010 | ms/batch 16.87 | loss  4.34 | ppl    76.98
| epoch   1 |  6200/ 9234 batches | lr 0.0010 | ms/batch 16.87 | loss  4.29 | ppl    73.14
| epoch   1 |  6400/ 9234 batches | lr 0.0010 | ms/batch 16.87 | loss  4.31 | ppl    74.81
| epoch   1 |  6600/ 9234 batches | lr 0.0010 | ms/batch 16.79 | loss  4.29 | ppl    72.65
| epoch   1 |  6800/ 9234 batches | lr 0.0010 | ms/batch 16.78 | loss  4.28 | ppl    72.51
| epoch   1 |  7000/ 9234 batches | lr 0.0010 | ms/batch 16.41 | loss  4.29 | ppl    73.06
| epoch   1 |  7200/ 9234 batches | lr 0.0010 | ms/batch 18.10 | loss  4.30 | ppl    73.53
| epoch   1 |  7400/ 9234 batches | lr 0.0010 | ms/batch 17.20 | loss  4.28 | ppl    72.54
| epoch   1 |  7600/ 9234 batches | lr 0.0010 | ms/batch 16.87 | loss  4.26 | ppl    70.92
| epoch   1 |  7800/ 9234 batches | lr 0.0010 | ms/batch 16.84 | loss  4.26 | ppl    70.72
| epoch   1 |  8000/ 9234 batches | lr 0.0010 | ms/batch 16.91 | loss  4.24 | ppl    69.11
| epoch   1 |  8200/ 9234 batches | lr 0.0010 | ms/batch 16.76 | loss  4.23 | ppl    68.74
| epoch   1 |  8400/ 9234 batches | lr 0.0010 | ms/batch 16.93 | loss  4.25 | ppl    70.44
| epoch   1 |  8600/ 9234 batches | lr 0.0010 | ms/batch 16.69 | loss  4.25 | ppl    70.13
| epoch   1 |  8800/ 9234 batches | lr 0.0010 | ms/batch 16.83 | loss  4.22 | ppl    68.08
| epoch   1 |  9000/ 9234 batches | lr 0.0010 | ms/batch 17.32 | loss  4.22 | ppl    68.13
| epoch   1 |  9200/ 9234 batches | lr 0.0010 | ms/batch 17.30 | loss  4.23 | ppl    68.90
------------
| end of epoch   1 | time: 167.64s | valid loss  4.18 | valid ppl    65.42
------------
| epoch   2 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.24 | loss  4.26 | ppl    70.71
| epoch   2 |   400/ 9234 batches | lr 0.0010 | ms/batch 16.54 | loss  4.18 | ppl    65.41
| epoch   2 |   600/ 9234 batches | lr 0.0010 | ms/batch 18.13 | loss  4.24 | ppl    69.35
| epoch   2 |   800/ 9234 batches | lr 0.0010 | ms/batch 17.51 | loss  4.22 | ppl    67.72
| epoch   2 |  1000/ 9234 batches | lr 0.0010 | ms/batch 16.95 | loss  4.18 | ppl    65.09
| epoch   2 |  1200/ 9234 batches | lr 0.0010 | ms/batch 16.84 | loss  4.16 | ppl    64.33
| epoch   2 |  1400/ 9234 batches | lr 0.0010 | ms/batch 17.20 | loss  4.18 | ppl    65.61
| epoch   2 |  1600/ 9234 batches | lr 0.0010 | ms/batch 16.59 | loss  4.19 | ppl    65.91
| epoch   2 |  1800/ 9234 batches | lr 0.0010 | ms/batch 17.66 | loss  4.21 | ppl    67.11
